RECID,BIKETYPE,BIKEMAKE,BIKEMODEL,FIRSTYEAR,LASTYEAR,CAPACITY,OE_HANDLEBAR,OE_FCW,OE_RCW,FRONT_BRAKEPADS,REAR_BRAKEPADS,78_HANDLEBARS,TWINWALL,FATBAR,FATBAR36,GRIPS,CAM,OE_BARMOUNT,BARMOUNT28,BARMOUNT36,FCWGROUP,FCWCONV,RCWCONV,RCWGROUP,RCWGROUP_RANGE,TWINRING,OE_CHAIN,CHAINCONV,R1_CHAIN,R3_CHAIN,R4_CHAIN,RR4_CHAIN,CLIPON,RCWCARRIER,ACTIVE_HANDLECOMPARE
9262,1,HONDA,CBR 600RR,2007,2008,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9267,1,HONDA,SLR 650,1997,2000,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9268,1,HONDA,NX 650,1991,1994,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9269,1,HONDA,NX 650,1995,2001,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9270,1,HONDA,FMX 650,2005,2008,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9273,1,HONDA,Africa Twin XRV 750,1993,2003,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9274,1,HONDA,CB 750,1992,2002,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9277,1,HONDA,VF 750,1993,1995,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9278,1,HONDA,VF 750,1996,1997,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9280,1,HONDA,VFR 750,1990,1997,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9283,1,HONDA,RVF 750R (RC45),1994,1999,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9284,1,HONDA,VFR 800,1998,2001,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9285,1,HONDA,VFR 800,2002,2005,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9286,1,HONDA,CBR 900RR,1992,1995,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9287,1,HONDA,CBR 900RR,1998,1999,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9289,1,HONDA,CBR 929/954RR,2000,2003,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9291,1,HONDA,CB 900F (919) Hornet,2002,2008,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9294,1,HONDA,CB 1000,1994,1995,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9295,1,HONDA,CBF 1000 / non ABS,2006,2010,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9299,1,HONDA,CBR 1000RR,2004,2005,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9301,1,HONDA,CBR 1000RR,2006,2007,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9303,1,HONDA,XL 1000 Varadero,1999,2003,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9304,1,HONDA,VTR 1000F,1998,2005,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
